k_nummer;anrede;vorname;nachname;strasse;hausnr;plz;ort;p_u_nummer
k001;Frau;Heidi;Obersdorf;Schreiberring;27;12101;Berlin;Privatkunde
k002;Herr;Gabriel;Reisig;Lehener Str.;162;79106;Freiburg;Privatkunde
k003;Herr;Etienne;Sancoins;Blumenbachstr.;11;37075;Göttingen;Privatkunde
k004;Frau;Amanda;Barrel;Weilbrunnstr.;12;60435;Frankfurt am Main;u03
k005;Frau;Paulina;Schatzgarten;Stadtwaldgürtel;54;50931;Köln;Privatkunde
k006;Herr;Maurice;Rouen;Rietschelstr.;47;04177;Leipzig;Privatkunde
k007;Frau;Nadine;Langen;Rotenbühlerweg;14;66123;Saarbrücken;u06
k008;Frau;Pia;Hochgrat;Efeuweg;62;22299;Hamburg;Privatkunde
k009;Herr;Roland;Gronfelder;Höfestr.;22;30163;Hannover;Privatkunde
k010;Frau;Yasmine;Hölziger;Aureliusstr.;29;52064;Aachen;u01
k011;Frau;Dana;Bernstein;Vorgebirgstr.;151;50969;Köln;Privatkunde
k012;Herr;Bernhard;Vailenmer;Goebenstr.;12;20253;Hamburg;Privatkunde
k013;Frau;Chantalle;Vinic;Augustinerstr.;31;66119;Saarbrücken;u06
k014;Frau;Ronja;Oberroth;Röhrhofsgasse;6;01067;Dresden;Privatkunde
k015;Herr;Julian;Baischier;Wöhlerstr.;20;60323;Frankfurt am Main;u03
k016;Herr;Rafael;Verny;Wendlohstr.;20D;22459;Hamburg;u04
k017;Frau;Katharina;Tarway;Schöneckstr.;5C;79104;Freiburg;Privatkunde
k018;Herr;Tim;Rosenbach;Belforter Str.;7;10405;Berlin;Privatkunde
k019;Frau;Emma;Lorraine;Lötzener Str.;16;60487;Frankfurt am Main;u03
k020;Frau;Anne;Wiesenblum;Ganghoferstr.;134;81373;München;Privatkunde
k021;Frau;Antje;Leveld;Zeppelinstr.;33;52068;Aachen;u01
k022;Herr;Hugo;Aureon;Eiffestr.;235D;20537;Hamburg;Privatkunde
k023;Herr;Marcel;Dijon;Fürstenallee;48;33102;Paderborn;u02
k024;Frau;Madeleine;Savin;Peiffersweg;11;22307;Hamburg;Privatkunde
k025;Herr;Martin;Weingarten;Böckingstr.;34;51063;Köln;Privatkunde
k026;Frau;Alicia;Biba;Rudolf-Hahn-Str.;44;53225;Bonn;Privatkunde
k027;Herr;Scott;Parker;Grazer Platz;12;12157;Berlin;Privatkunde
